first_name,last_name,student_id,ofcl,rule_id,rule_name,courses_1,courses_2,courses_3,courses_4,courses_5,courses_6,courses_7
,,114933,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,114933,,134,1 AP Course,MCS43X_WAITLIST,,,,,,
,,114933,,138,AP MATH,ZZ,,,,,,
,,114933,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,114933,,143,AP Physical Science (must rank AP Physical Sci in other section),SPS43X_WAITLIST,SPS43X_WAITLIST,SPS43X_WAITLIST,,,,
,,456422,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,456422,,135,2 AP Courses,ZQAPBIO,HES21X,,,,,
,,456422,,138,AP MATH,MCS21X_WAITLIST,,,,,,
,,456422,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SBS43X,SBS43X,SBS43X,,,,
,,456422,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,839713,,133,AP English (must rank AP English in other section),EES87X5_WAITLIST,EES87XGP_WAITLIST,EES87X3_WAITLIST,,,,
,,839713,,135,2 AP Courses,ZQAPHEHV,ZQAPENG,,,,,
,,839713,,138,AP MATH,MCS21X,,,,,,
,,839713,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,839713,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,598940,,133,AP English (must rank AP English in other section),EES87XGP_WAITLIST,EES87X3_WAITLIST,EES87X5_WAITLIST,,,,
,,598940,,135,2 AP Courses,ZQAPBIO,FFS87X,,,,,
,,598940,,138,AP MATH,MCS21X,,,,,,
,,598940,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SBS43X_WAITLIST,SQS21X_WAITLIST,SWS21X_WAITLIST,,,,
,,598940,,143,AP Physical Science (must rank AP Physical Sci in other section),SPS21X,SCS43X_WAITLIST,ZZNOAPPHY,,,,
,,546297,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,546297,,135,2 AP Courses,ZQAPBIO,MCS21X,,,,,
,,546297,,138,AP MATH,MCS21X,,,,,,
,,546297,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SBS43X,ZZNOAPBIO,ZZNOAPBIO,,,,
,,546297,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,805368,,133,AP English (must rank AP English in other section),EES87X5_WAITLIST,EES87X3_WAITLIST,EES87XGP_WAITLIST,,,,
,,805368,,134,1 AP Course,HES21X_WAITLIST,,,,,,
,,805368,,138,AP MATH,MSS21X_WAITLIST,,,,,,
,,805368,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SBS43X_WAITLIST,SQS21X_WAITLIST,SWS21X_WAITLIST,,,,
,,805368,,143,AP Physical Science (must rank AP Physical Sci in other section),SCS43X,SCS43X_WAITLIST,ZZNOAPPHY,,,,
,,404253,,133,AP English (must rank AP English in other section),EES87X3_WAITLIST,EES87XGP_WAITLIST,EES87X5_WAITLIST,,,,
,,404253,,134,1 AP Course,ZQAPBIO,,,,,,
,,404253,,138,AP MATH,MCS21X_WAITLIST,,,,,,
,,404253,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SWS21X_WAITLIST,SQS21X_WAITLIST,SBS43X_WAITLIST,,,,
,,404253,,143,AP Physical Science (must rank AP Physical Sci in other section),SPS43X_WAITLIST,SPS21X_WAITLIST,SCS43X_WAITLIST,,,,
,,108945,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,108945,,135,2 AP Courses,HES21X_WAITLIST,ZQAPBIO,,,,,
,,108945,,138,AP MATH,MCS21X,,,,,,
,,108945,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SQS21X,SQS21X,SQS21X,,,,
,,108945,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,395167,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,395167,,135,2 AP Courses,ZQAPBIO,ZQAPPHYSICAL,,,,,
,,395167,,138,AP MATH,MCS21X,,,,,,
,,395167,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),SQS21X,SBS43X,ZZNOAPBIO,,,,
,,395167,,143,AP Physical Science (must rank AP Physical Sci in other section),SCS43X,SCS43X,ZZNOAPPHY,,,,
,,511036,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,511036,,135,2 AP Courses,MCS43X,HVS11XG,,,,,
,,511036,,138,AP MATH,MCS21X,,,,,,
,,511036,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,511036,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,999138,,133,AP English (must rank AP English in other section),EES87X3,EES87X5,EES87XGP,,,,
,,999138,,135,2 AP Courses,ZQAPHVHT,ZQAPENG,,,,,
,,999138,,138,AP MATH,MCS21X,,,,,,
,,999138,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,999138,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,451336,,133,AP English (must rank AP English in other section),ZZNOAPENG,ZZNOAPENG,ZZNOAPENG,,,,
,,451336,,135,2 AP Courses,ZQAPMAMI_WAITLIST,MSS21X_WAITLIST,,,,,
,,451336,,138,AP MATH,MCS21X_WAITLIST,,,,,,
,,451336,,141,AP Life Sci (Bio/APES/Psych - must rank AP Life Sci above),ZZNOAPBIO,ZZNOAPBIO,ZZNOAPBIO,,,,
,,451336,,143,AP Physical Science (must rank AP Physical Sci in other section),ZZNOAPPHY,ZZNOAPPHY,ZZNOAPPHY,,,,
,,750345,,133,AP English (must rank AP English in other section),EES87X3_WAITLIST,EES87X5_WAITLIST,EES87XGP_WAITLIST,,,,
,,750345,,135,2 AP Courses,MCS43X,ZZ,,,,,
,,750345,,138,AP MATH,MCS21X,,,,,,
