StudentID,LastName,FirstName,BirthDate,OffClass,Grade,Level,EthnicCode,HomeLang,MealCode,Attempted,Earned,English/ENL Avg,Social Studies Avg,Mathematics Avg,Science Avg,Foreign Language Avg,Arts Avg,Overall Avg
496008,,,,,,,,,,47.5,47.5,95.37,85.92,100.00,95.44,94.85,92.71,96.05
900943,,,,,,,,,,39.5,39.5,97.05,91.00,97.30,98.67,91.89,91.86,96.63
586511,,,,,,,,,,37.5,37.5,89.67,94.16,93.46,92.50,88.08,94.16,94.01
870132,,,,,,,,,,10.5,10.5,100.00,87.60,99.70,95.17,88.49,89.33,95.38
982712,,,,,,,,,,10.5,10.5,93.47,88.79,88.44,92.27,95.10,0.00,78.34
562052,,,,,,,,,,10.5,10.5,87.80,86.33,97.68,96.70,94.11,99.63,95.71
229240,,,,,,,,,,34,34,89.71,93.53,93.39,95.06,91.31,91.89,94.48
274594,,,,,,,,,,34.5,34.5,96.12,85.86,99.15,94.57,87.00,97.13,95.31
163959,,,,,,,,,,41.5,41.5,92.86,85.09,98.08,87.76,95.73,87.86,93.23
685148,,,,,,,,,,9.5,9.5,94.92,97.47,99.85,100.00,88.05,95.36,97.94
530123,,,,,,,,,,8.5,8.5,97.49,93.38,93.28,93.80,85.02,0.00,79.16
832723,,,,,,,,,,24.5,24.5,92.21,92.16,100.00,91.93,87.76,100.00,96.01
986858,,,,,,,,,,27.5,27.5,91.34,92.46,91.79,95.38,88.87,96.01,94.64
712687,,,,,,,,,,39.5,39.5,97.63,85.85,99.13,94.21,89.41,94.48,95.45
557945,,,,,,,,,,42.5,42.5,96.50,85.22,96.90,97.67,83.96,96.41,94.78
923302,,,,,,,,,,10.5,9.5,87.88,88.32,96.47,89.71,91.89,0.00,77.71
686175,,,,,,,,,,35.5,35.5,93.99,85.08,91.97,95.41,92.87,94.02,94.22
473202,,,,,,,,,,23.5,23.5,88.03,93.03,94.01,89.74,91.42,94.32,93.76
539833,,,,,,,,,,10.5,10.5,87.51,92.36,90.71,90.66,90.30,96.35,93.31
114933,,,,,,,,,,38,38,92.81,86.98,99.31,99.29,90.17,97.64,96.37
498594,,,,,,,,,,12.5,12.5,94.97,86.61,95.82,89.74,87.60,99.58,94.39
859660,,,,,,,,,,44.5,44.5,96.52,91.56,92.39,100.00,88.37,95.73,96.10
322907,,,,,,,,,,12.5,12.5,89.89,85.76,95.21,96.31,91.01,0.00,78.36
163860,,,,,,,,,,26.5,26.5,93.67,92.88,92.29,98.20,90.46,96.85,96.06
129786,,,,,,,,,,11.5,11.5,93.03,84.33,87.77,92.69,87.19,96.83,92.31
546605,,,,,,,,,,42,41.5,94.86,92.85,95.17,100.00,82.85,94.39,95.35
456422,,,,,,,,,,41.5,41.5,91.70,87.44,99.63,94.07,92.61,97.06,95.75
811674,,,,,,,,,,22.5,22.5,89.80,93.87,91.23,94.26,90.19,97.20,94.76
